farms,location,groundbeef,liver,heart,marrowBones,delivery,pickup,freeShipping,freeShippingMinimum,websiteLink,Notes
Markegard Family,California,Yes,Yes,Yes,Yes,Yes,Yes,,,https://www.markegardfamily.com/,Membership $125 for lower prices
Mariposa Ranch,Texas,Yes,Yes,No,Yes,Yes,No,,,https://mariposaranch.com/,
GrassLand Beef,Missouri and Illinois,Yes,Yes,Yes,Yes,Yes,,,,https://grasslandbeef.com/,
Alderspring Ranch Provisions,N/A,Yes,Yes,No,No,Yes,No,Yes,Minimum order is $125,https://shopalderspring.com/,
Agridimestore,,Yes,Yes,Yes,No,Yes,Yes,No,spend $175 or more!,https://agridimestore.com/,
Llano Seco,"Chico, CA",Yes,No,No,No,,Yes,No,40,https://llanoseco.com/,
5 Bar Beef,CA,Yes,No,No,Yes,Yes,No,Yes,orders $300 and over,https://5barbeef.com/,
Tussock Sedge Farm,"Perkasie, PA",Yes,Yes,Yes,Yes,No,Yes,No,Not mentioned on website,https://tussocksedgefarm.com/,
Tennessee Grass Fed,"Clarksville, TN",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Orders of $250 or more | Within 95mi radius from Farm,https://tennesseegrassfed.com/,
Hudson Valley Grass Fed Beef,"Circleville, New York",Yes,Yes,Yes,Yes,No,Yes,,Not mentioned on website,https://hudsonvalleygrassfedbeef.com/,
All Grass Farms,Illinois,Yes,No,No,No,Yes,Yes,Yes,Not mentioned on website,https://www.allgrassfarms.com/,
Meadowfed Farms,WA,Yes,No,No,No,No,Yes,No,Not mentioned on website,https://www.meadowfedfarms.com/,
Tyner Pond Farm,Indiana ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not mentioned on website,https://tynerpondfarm.com/,
Englewood Grass Farm,"Fall River, WI 53932",Yes,Yes,Yes,No,Yes,,No,Not mentioned on website,englewoodgrassfarm.com,
Laurel Ridge Farm LLC, CT ,Yes,Yes,Yes,No,No,Yes,No,Not mentioned on website,http://www.lrgfb.com/,
Sweetman's Farm,"Warwick, NY ",Yes,No,No,Yes,No,Yes,No,Not mentioned on website,https://sweetmansfarm.com/,
White Clover Farm,"Cincinnati, Ohio",Yes,No,No,No,No,Yes,No,Not mentioned on website,https://www.whitecloverfarmohio.com/,
White Oak Pastures,"Bluffton, South Carolina ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,249,https://whiteoakpastures.com/,
Family Friendly Farms,California,Yes,Yes,Yes,Yes,Yes,No,No,,https://www.familyfriendlyfarms.com/,
Brite Creek Farms,California,Yes,Yes,Yes,Yes,Yes,Yes,No,,https://www.britecreekfarm.com/,
Stemple Creek Ranch,California,Yes,Yes,Yes,Yes,Yes,Yes,Yes,149,https://stemplecreek.com/,
Da-Le-Ranch,California,Yes,Yes,Yes,Yes,Yes,No,Yes,Not mentioned on website,https://www.da-le-ranch.com/,
Morris Grassfed,California,Yes,Yes,Yes,Yes,No,Yes,No,,https://morrisgrassfed.com/,
Buy Ranch Direct,California,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100,https://buyranchdirect.com/,
Sage Mountain Beef,California,Yes,No,No,Yes,Yes,Yes,Yes,149 plus,https://sagemountainbeef.com/,
Salmon Creek Ranch,"Bodega, CA",Yes,Yes,Yes,No,Yes,Yes,No,Not mentioned on website,https://salmoncreekranch.com/,
Novy Ranches Grass Fed,California,Yes,No,Yes,Yes,Yes,Yes,,,https://novyranches.com/,
Hole-In-One Ranch ,California,Yes,Yes,Yes,Yes,Yes,Yes,,,https://holeinoneranch.com/,
UNDER THE OAKS RANCH,California,Yes,No,No,Yes,Yes,Yes,No,Not mentioned on website,https://under-the-oaks-ranch.square.site/#mSxnRq,
Bradley & Son Cattle,California,Yes,Yes,Yes,Yes,Yes,Yes,No,Not mentioned on website,https://www.bradleygrassfedbeef.com/,
Koopmann Family Beef,California,Yes,Yes,Yes,Yes,Yes,Yes,No,Not mentioned on website,https://koopmannfamilybeef.com/,
Sonny's Farm,California,Yes,Yes,Yes,No,No,Yes,No,Not mentioned on website,https://sonnysfarm.com/,
Sinclair Family Farm,California,Yes,Yes,No,Yes,No,Yes,,,https://www.sinclairfamilyfarm.net/,
TruBeef Organic,California,Yes,Yes,Yes,Yes,Yes,Yes,yes,199,https://truorganicbeef.com/,
Paicines Ranch,California,Yes,Yes,Yes,No,Yes,Yes,,,https://paicinesranch.com/,
Watson Farms Beef,South Carolina,Yes,Yes,Yes,Yes,Yes,Yes,,,https://watsonfarmsbeef.com/,
TINK’S GRASS FED BEEF,"Washington, GA",Yes,Yes,Yes,No,No,Yes,No,Not mentioned on website,https://www.tinksbeef.com/,
Harmon Creek Farms,OH,Yes,Yes,Yes,No,No,Yes,No,Not mentioned on website,https://www.harmoncreekfarms.com/,
Cooper Ranch,"Kirkland, AZ 86332",Yes,Yes,Yes,Yes,Yes,Yes,yes,400,https://www.cooperranchlife.com/,
"Beaver Brook Ranch, LLC",NJ,Yes,Yes,Yes,No,Yes,Yes,yes,20lb,https://beaverbrookranch.com/,
Grady Ranch,GA,Yes,Yes,Yes,Yes,,Yes,,,https://www.gradyranchfarms.com/,
Miles Smith Farm,NH,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50,https://milessmithfarm.com/,
Seven Sons,IN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,149,https://sevensons.zendesk.com/,
